accurate,exact
afraid,fearful
angry,furious
annoying,exasperating
bad,awful
beautiful,gorgeous
big,massive
boring,dull
bright,luminous
busy,swamped
calm,serene
careful,cautious
cheap,stingy
clean,spotless
clear,obvious
cold,freezing
colorful,vibrant
competitive,cutthroat
complete,comprehensive
confused,perplexed
creative,innovative
crowded,bustling
dangerous,perilous
dear,cherished
deep,profound
depressed,despondent
detailed,meticulous
different,disparate
difficult,arduous
dirty,filthy
dry,arid
dull,tedious
easy,effortless
empty,desolate
excited,thrilled
exciting,exhilirating
expensive,costly
cute,adorable
fast,swift
fancy,lavish
fat,obese
friendly,amiable
frightened,alarmed
frightening,terrifying
funny,hilarious
glad,overjoyed
good,excellent
great,terrific
happy,ecstatic
hard,difficult
hard-to-find,rare
heavy,leaden
high,soaring
hot,sweltering
huge,colossal
hungry,starving
hurt,battered
important,crucial
intelligent,brilliant
interesting,captivating
large,huge
lazy,indolent
little,tiny
long,extensive
long-term,enduring
loose,slack
mean,cruel
messy,slovenly
necessary,essential
nervous,apprehensive
nice,kind
noisy,deafening
often,frequently
old,ancient
old-fashioned,archaic
loud,thunderous
slow,sluggish
open,transparent
painful,excruciating
pale,ashen
perfect,flawless
poor,destitute
powerful,compelling
pretty,beautiful
quick,rapid
quiet,hushed
rainy,pouring
rich,wealthy
sad,sorrowful
scared,petrified
scary,chilling
serious,grave
sharp,keen
shiny,gleaning
short,brief
shy,timid
simple,basic
skinny,skeletal
small,petite
smart,intelligent
smelly,pungent
smooth,sleek
soft,downy
sorry,apologetic
special,exceptional
strong,forceful
stupid,idiotic
sure,certain
sweet,thoughtful
talented,gifted
tall,towering
tasty,delicious
thirty,parched
tight,constricting
tiny,miniscule
tired,exhausted
ugly,hideous
unhappy,miserable
upset,distraught
warm,hot
weak,frail
well-to-do,wealthy
wet,soaked
wide,expansive
willing,eager
windy,blustery
wise,sage
worried,distressed
